Fartøy ID,Siste fangstdato,Lokasjon (kode),Lon (lokasjon),Lat (lokasjon),Art,Art - gruppe,Rundvekt,date
2019110893.0,10.09.2019,15.0,5.22302,59.73966,Grønngylt,Leppefisk,8.24,2019-10-09
2011053849.0,23.04.2015,24.0,25.53489,70.46517,Torsk,Torsk,135.0,2015-04-23
1997012509.0,11.02.2008,20.0,10.5,59.25,Dypvannsreke,Dypvannsreke,31.0,2008-11-02
1987007919.0,03.08.2015,33.0,12.68927,66.25914,"Taskekrabbe, hun-",Taskekrabbe,41.0,2015-03-08
1992003859.0,12.03.2021,33.0,12.68927,66.25914,Gråsteinbit,Steinbiter,5.78,2021-12-03
1997012516.0,28.02.2005,35.0,17.5,70.25,Torsk,Torsk,781.5,2005-02-28
1997009995.0,10.08.2008,8.0,8.4814,63.76938,"Taskekrabbe, han-",Taskekrabbe,473.0,2008-10-08
1990005578.0,30.07.2005,23.0,14.5,69.25,Brosme,Annen torskefisk,35.0,2005-07-30
1995011230.0,15.03.2007,27.0,21.79904,69.83414,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",8.8,2007-03-15
1968007737.0,25.01.2002,20.0,14.56401,68.75918,Hyse,Hyse,140.0,2002-01-25
2003019683.0,23.08.2017,38.0,10.50072,64.25083,Sei,Sei,82.6,2017-08-23
2001014961.0,25.03.2010,33.0,5.59752,62.21811,Lange,Annen torskefisk,371.0,2010-03-25
1979009388.0,27.11.2018,28.0,8.9273,63.31354,"Taskekrabbe, hun-",Taskekrabbe,191.0,2018-11-27
,15.08.2006,12.0,10.50548,64.74619,Sei,Sei,24.3,2006-08-15
1983012551.0,17.03.2008,20.0,10.5,59.25,Hyse,Hyse,28.5,2008-03-17
2008041648.0,24.08.2011,11.0,21.54827,70.73675,Torsk,Torsk,4.5,2011-08-24
1994001179.0,27.03.2017,16.0,9.5,58.75,Smørflyndre,"Annen flatfisk, bunnfisk og dypvannsfisk",1.1,2017-03-27
,07.10.2000,17.0,6.56095,58.25116,Lomre,"Annen flatfisk, bunnfisk og dypvannsfisk",18.2,2000-07-10
1997000266.0,07.12.2001,18.0,6.2079,58.92551,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",6.6,2001-07-12
1999003872.0,06.02.2021,11.0,21.54827,70.73675,Torsk,Torsk,0.0,2021-06-02
,10.01.2002,16.0,5.37624,59.23466,Torsk,Torsk,34.2,2002-10-01
,28.09.2000,25.0,16.61634,69.26902,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",39.2,2000-09-28
2005031567.0,21.04.2015,20.0,10.5,59.25,Berggylt,Leppefisk,0.6,2015-04-21
1991008785.0,23.05.2007,16.0,5.37624,59.23466,Torsk,Torsk,0.8,2007-05-23
1990011874.0,01.03.2016,46.0,14.56579,68.15924,Torsk,Torsk,378.0,2016-01-03
1984001358.0,12.03.2007,4.0,21.52462,70.33232,Torsk,Torsk,36.0,2007-12-03
1998013077.0,24.08.2009,20.0,10.5,59.25,Hvitting,Annen torskefisk,1.2,2009-08-24
1989007179.0,08.02.2002,33.0,12.68927,66.25914,Lyr,Annen torskefisk,40.3,2002-08-02
1999005762.0,01.07.2005,25.0,16.61634,69.26902,Sei,Sei,8.1,2005-01-07
1976007837.0,10.01.2008,15.0,13.44548,68.29821,Hyse,Hyse,46.7,2008-10-01
,26.04.2006,30.0,17.491,69.74206,Torsk,Torsk,36.0,2006-04-26
1976010079.0,23.06.2010,6.0,9.55392,64.22308,Sei,Sei,43.2,2010-06-23
2001014861.0,07.07.2009,7.0,7.49065,63.24359,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",445.2,2009-07-07
1987007581.0,25.04.2005,6.0,29.42593,70.64198,Hyse,Hyse,4202.0,2005-04-25
1996004708.0,21.11.2006,19.0,6.5,63.25,Hyse,Hyse,516.4,2006-11-21
2001014841.0,29.09.2017,11.0,21.54827,70.73675,Sei,Sei,228.0,2017-09-29
1996012649.0,09.10.2007,12.0,8.49357,58.26584,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",1.4,2007-09-10
1999001895.0,25.02.2016,25.0,26.79157,70.49274,Torsk,Torsk,2551.5,2016-02-25
,17.12.2009,1.0,5.5,58.25,Torsk,Torsk,7.1,2009-12-17
1980009237.0,29.08.2014,33.0,5.59752,62.21811,Rødspette,"Annen flatfisk, bunnfisk og dypvannsfisk",6.6,2014-08-29
1997001590.0,03.02.2005,0.0,,,Torsk,Torsk,196.5,2005-03-02
2000013578.0,20.04.2013,25.0,7.5,57.75,Lange,Annen torskefisk,0.0,2013-04-20
1998001475.0,07.06.2002,11.0,21.54827,70.73675,Torsk,Torsk,9.0,2002-07-06
1987000383.0,14.09.2015,12.0,10.50548,64.74619,Lange,Annen torskefisk,60.2,2015-09-14
1989005609.0,25.06.2007,24.0,15.47374,69.26583,Lange,Annen torskefisk,25.2,2007-06-25
2002016644.0,15.05.2006,26.0,25.37756,71.13554,Torsk,Torsk,412.5,2006-05-15
2000013628.0,31.03.2020,28.0,15.5,69.75,Torsk,Torsk,0.0,2020-03-31
1992001372.0,08.11.2019,40.0,18.65184,69.26688,Torsk,Torsk,12.0,2019-08-11
1991006569.0,24.05.2006,20.0,14.56401,68.75918,Torsk,Torsk,21.0,2006-05-24
2000013865.0,30.01.2003,25.0,7.5,57.75,Sei,Sei,24.0,2003-01-30
1980002687.0,29.01.2007,10.0,26.46578,71.23915,Torsk,Torsk,,2007-01-29
,26.02.2000,15.0,13.44548,68.29821,Torsk,Torsk,10650.0,2000-02-26
1985003540.0,03.12.2015,26.0,25.37756,71.13554,"Kongekrabbe, han-","Kongekrabbe, han",2.0,2015-03-12
1989006479.0,19.01.2002,11.0,14.53782,67.75442,Hyse,Hyse,2.8,2002-01-19
2008040708.0,24.03.2016,10.0,13.41423,67.82298,Torsk,Torsk,,2016-03-24
1977011655.0,05.02.2011,23.0,14.5,69.25,Torsk,Torsk,150.0,2011-05-02
,31.12.2004,10.0,38.5,69.25,Kongekrabbe,"Kongekrabbe, annen",0.0,2004-12-31
1990010989.0,13.05.2009,30.0,17.491,69.74206,Torsk,Torsk,16.5,2009-05-13
1990006427.0,30.09.2020,46.0,14.56579,68.15924,Hvitting,Annen torskefisk,108.0,2020-09-30
2002016624.0,07.11.2007,16.0,14.57428,68.40364,Hyse,Hyse,118.6,2007-07-11
,24.07.2000,6.0,5.5,62.75,Lyr,Annen torskefisk,19.6,2000-07-24
1997012364.0,05.08.2014,17.0,10.5,58.75,Dypvannsreke,Dypvannsreke,0.0,2014-05-08
2013060632.0,14.05.2013,19.0,6.5,63.25,Annen skate og rokke,Skater og annen bruskfisk,5.0,2013-05-14
1996010134.0,19.04.2010,3.0,20.4513,70.26784,Hyse,Hyse,2.8,2010-04-19
,07.06.2005,20.0,10.5,59.25,Ål,"Annen flatfisk, bunnfisk og dypvannsfisk",19.0,2005-07-06
2018104173.0,03.04.2019,18.0,11.56914,65.22203,Uer (vanlig),Uer,1.0,2019-03-04
1995006728.0,17.11.2011,35.0,12.65937,65.69263,"Taskekrabbe, hun-",Taskekrabbe,263.0,2011-11-17
1987011128.0,15.06.2002,35.0,17.5,70.25,Torsk,Torsk,57.0,2002-06-15
